,base,clouds,cod,coord,dt,id,main,message,name,rain,sys,visibility,weather,wind
0,stations,{'all': 0},200,"{'lon': 147.06, 'lat': -42.78}",1535207400.0,2155415.0,"{'temp': 48.2, 'pressure': 1012, 'humidity': 70, 'temp_min': 48.2, 'temp_max': 48.2}",,New Norfolk,,"{'type': 1, 'id': 8195, 'message': 0.0038, 'country': 'AU', 'sunrise': 1535143763, 'sunset': 1535182730}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 6.93, 'deg': 10}"
1,stations,{'all': 90},200,"{'lon': -52.73, 'lat': 47.66}",1535205600.0,6167817.0,"{'temp': 69.8, 'pressure': 1025, 'humidity': 68, 'temp_min': 69.8, 'temp_max': 69.8}",,Torbay,,"{'type': 1, 'id': 3467, 'message': 0.0039, 'country': 'CA', 'sunrise': 1535186446, 'sunset': 1535235836}",24140.0,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]","{'speed': 16.11, 'deg': 260}"
2,stations,{'all': 20},200,"{'lon': -175.2, 'lat': -21.2}",1535205600.0,4032243.0,"{'temp': 60.8, 'pressure': 1016, 'humidity': 87, 'temp_min': 60.8, 'temp_max': 60.8}",,Vaini,,"{'type': 1, 'id': 8323, 'message': 0.0237, 'country': 'TO', 'sunrise': 1535219718, 'sunset': 1535261409}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 3.36, 'deg': 160}"
3,stations,{'all': 0},200,"{'lon': 102.47, 'lat': 71.98}",1535208620.0,2022572.0,"{'temp': 52.82, 'pressure': 1023.36, 'humidity': 67, 'temp_min': 52.82, 'temp_max': 52.82, 'sea_level': 1027.92, 'grnd_level': 1023.36}",,Khatanga,,"{'message': 0.0027, 'country': 'RU', 'sunrise': 1535143004, 'sunset': 1535204610}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 10.09, 'deg': 148.504}"
4,stations,{'all': 0},200,"{'lon': -109.02, 'lat': 26.44}",1535208620.0,4017764.0,"{'temp': 85.04, 'pressure': 1020.44, 'humidity': 82, 'temp_min': 85.04, 'temp_max': 85.04, 'sea_level': 1024.8, 'grnd_level': 1020.44}",,Anahuac,,"{'message': 0.0037, 'country': 'MX', 'sunrise': 1535201589, 'sunset': 1535247738}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 3.49, 'deg': 92.5044}"
5,stations,{'all': 75},200,"{'lon': 137.08, 'lat': 36.58}",1535205600.0,1849876.0,"{'temp': 82.4, 'pressure': 1012, 'humidity': 83, 'temp_min': 82.4, 'temp_max': 82.4}",,Yamada,,"{'type': 1, 'id': 7567, 'message': 0.003, 'country': 'JP', 'sunrise': 1535141839, 'sunset': 1535189371}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 8.05, 'deg': 240}"
7,stations,{'all': 0},200,"{'lon': 113.63, 'lat': -24.87}",1535208620.0,2074865.0,"{'temp': 63.08, 'pressure': 1029.68, 'humidity': 95, 'temp_min': 63.08, 'temp_max': 63.08, 'sea_level': 1031.08, 'grnd_level': 1029.68}",,Carnarvon,,"{'message': 0.0029, 'country': 'AU', 'sunrise': 1535150629, 'sunset': 1535191889}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 7.96, 'deg': 182.004}"
8,stations,{'all': 80},200,"{'lon': 73.08, 'lat': -0.6}",1535208327.0,1282256.0,"{'temp': 81.26, 'pressure': 1024.66, 'humidity': 100, 'temp_min': 81.26, 'temp_max': 81.26, 'sea_level': 1024.68, 'grnd_level': 1024.66}",,Hithadhoo,{'3h': 0.2475},"{'message': 0.0033, 'country': 'MV', 'sunrise': 1535159208, 'sunset': 1535202752}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 4.16, 'deg': 221.504}"
9,stations,{'all': 75},200,"{'lon': -90.35, 'lat': -0.74}",1535205600.0,3652764.0,"{'temp': 73.4, 'pressure': 1014, 'humidity': 69, 'temp_min': 73.4, 'temp_max': 73.4}",,Puerto Ayora,,"{'type': 1, 'id': 4355, 'message': 0.0278, 'country': 'EC', 'sunrise': 1535198429, 'sunset': 1535241962}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 10.29, 'deg': 150}"
10,stations,{'all': 75},200,"{'lon': 18.42, 'lat': -33.93}",1535205600.0,3369157.0,"{'temp': 57.2, 'pressure': 1009, 'humidity': 82, 'temp_min': 57.2, 'temp_max': 57.2}",,Cape Town,,"{'type': 1, 'id': 6529, 'message': 0.0048, 'country': 'ZA', 'sunrise': 1535173982, 'sunset': 1535214237}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 34.45, 'deg': 350}"
11,stations,{'all': 48},200,"{'lon': 128.91, 'lat': 43.11}",1535208621.0,2035754.0,"{'temp': 60.38, 'pressure': 951.14, 'humidity': 94, 'temp_min': 60.38, 'temp_max': 60.38, 'sea_level': 1019.69, 'grnd_level': 951.14}",,Mingyue,{'3h': 0.12},"{'message': 0.0143, 'country': 'CN', 'sunrise': 1535143264, 'sunset': 1535191856}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 4.05, 'deg': 246.004}"
12,stations,{'all': 40},200,"{'lon': -68.31, 'lat': -54.81}",1535205600.0,3833367.0,"{'temp': 41, 'pressure': 998, 'humidity': 60, 'temp_min': 41, 'temp_max': 41}",,Ushuaia,,"{'type': 1, 'id': 4754, 'message': 0.0081, 'country': 'AR', 'sunrise': 1535196591, 'sunset': 1535233276}",10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 13.87, 'deg': 230}"
14,stations,{'all': 1},200,"{'lon': -94.76, 'lat': 39.95}",1535205180.0,4407665.0,"{'temp': 77, 'pressure': 1013, 'humidity': 93, 'temp_min': 77, 'temp_max': 77}",,Kodiak,,"{'type': 1, 'id': 1664, 'message': 0.004, 'country': 'US', 'sunrise': 1535197254, 'sunset': 1535245213}",16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 5.82, 'deg': 210}"
15,stations,{'all': 32},200,"{'lon': 156.12, 'lat': 50.68}",1535208621.0,2121385.0,"{'temp': 47.42, 'pressure': 1015.34, 'humidity': 100, 'temp_min': 47.42, 'temp_max': 47.42, 'sea_level': 1028.53, 'grnd_level': 1015.34}",,Severo-Kurilsk,,"{'message': 0.0037, 'country': 'RU', 'sunrise': 1535135924, 'sunset': 1535186121}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 4.72, 'deg': 286.504}"
16,stations,{'all': 0},200,"{'lon': 26.89, 'lat': -33.59}",1535208622.0,964432.0,"{'temp': 71.36, 'pressure': 1010.96, 'humidity': 63, 'temp_min': 71.36, 'temp_max': 71.36, 'sea_level': 1019.49, 'grnd_level': 1010.96}",,Port Alfred,,"{'message': 0.0035, 'country': 'ZA', 'sunrise': 1535171929, 'sunset': 1535212224}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 8.63, 'deg': 206.004}"
17,stations,{'all': 0},200,"{'lon': 55.77, 'lat': -21.36}",1535205600.0,935215.0,"{'temp': 73.4, 'pressure': 1020, 'humidity': 60, 'temp_min': 73.4, 'temp_max': 73.4}",,Saint-Philippe,,"{'type': 1, 'id': 6792, 'message': 0.0035, 'country': 'RE', 'sunrise': 1535164326, 'sunset': 1535205958}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 8.05, 'deg': 120}"
18,stations,{'all': 64},200,"{'lon': 22.61, 'lat': 51.46}",1535208622.0,765927.0,"{'temp': 68.93, 'pressure': 1002.2, 'humidity': 79, 'temp_min': 68.93, 'temp_max': 68.93, 'sea_level': 1021.56, 'grnd_level': 1002.2}",,Lubartow,,"{'message': 0.0036, 'country': 'PL', 'sunrise': 1535167903, 'sunset': 1535218212}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 11.43, 'deg': 308.004}"
19,stations,{'all': 24},200,"{'lon': 115.35, 'lat': -33.64}",1535208622.0,2075265.0,"{'temp': 53.18, 'pressure': 1034.47, 'humidity': 100, 'temp_min': 53.18, 'temp_max': 53.18, 'sea_level': 1035.5, 'grnd_level': 1034.47}",,Busselton,,"{'message': 0.0036, 'country': 'AU', 'sunrise': 1535150720, 'sunset': 1535190981}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 6.96, 'deg': 164.504}"
20,stations,{'all': 88},200,"{'lon': -134.97, 'lat': -23.12}",1535208622.0,4030556.0,"{'temp': 71.81, 'pressure': 1033.74, 'humidity': 100, 'temp_min': 71.81, 'temp_max': 71.81, 'sea_level': 1033.8, 'grnd_level': 1033.74}",,Rikitea,,"{'message': 0.0035, 'country': 'PF', 'sunrise': 1535210165, 'sunset': 1535251657}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 12.44, 'deg': 70.0044}"
22,stations,{'all': 32},200,"{'lon': 88.13, 'lat': 47.83}",1535208622.0,1529651.0,"{'temp': 47.15, 'pressure': 822.9, 'humidity': 84, 'temp_min': 47.15, 'temp_max': 47.15, 'sea_level': 1023.34, 'grnd_level': 822.9}",,Altay,,"{'message': 0.0038, 'country': 'CN', 'sunrise': 1535152589, 'sunset': 1535202092}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 2.37, 'deg': 72.5044}"
23,stations,{'all': 40},200,"{'lon': 57.76, 'lat': -20.34}",1535205600.0,1106677.0,"{'temp': 73.4, 'pressure': 1022, 'humidity': 69, 'temp_min': 73.4, 'temp_max': 73.4}",,Bambous Virieux,,"{'type': 1, 'id': 6729, 'message': 0.0033, 'country': 'MU', 'sunrise': 1535163797, 'sunset': 1535205530}",10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 11.41, 'deg': 110}"
24,stations,{'all': 0},200,"{'lon': 147.33, 'lat': -42.88}",1535207400.0,2163355.0,"{'temp': 48.2, 'pressure': 1012, 'humidity': 70, 'temp_min': 48.2, 'temp_max': 48.2}",,Hobart,,"{'type': 1, 'id': 8195, 'message': 0.0065, 'country': 'AU', 'sunrise': 1535143706, 'sunset': 1535182657}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 6.93, 'deg': 10}"
25,stations,{'all': 0},200,"{'lon': -9.38, 'lat': 39.36}",1535207400.0,2264923.0,"{'temp': 76.28, 'pressure': 1015, 'humidity': 32, 'temp_min': 71.6, 'temp_max': 82.4}",,Peniche,,"{'type': 1, 'id': 5961, 'message': 0.0038, 'country': 'PT', 'sunrise': 1535176797, 'sunset': 1535224697}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 13.87, 'deg': 320}"
26,stations,{'all': 92},200,"{'lon': 76.72, 'lat': 23.57}",1535208624.0,1255130.0,"{'temp': 74.87, 'pressure': 963.05, 'humidity': 95, 'temp_min': 74.87, 'temp_max': 74.87, 'sea_level': 1015.76, 'grnd_level': 963.05}",,Talen,,"{'message': 0.0029, 'country': 'IN', 'sunrise': 1535157161, 'sunset': 1535203031}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 8.19, 'deg': 248.504}"
27,stations,{'all': 0},200,"{'lon': 29.66, 'lat': -8.47}",1535208624.0,176758.0,"{'temp': 82.25, 'pressure': 890.5, 'humidity': 33, 'temp_min': 82.25, 'temp_max': 82.25, 'sea_level': 1021.27, 'grnd_level': 890.5}",,Kaputa,,"{'message': 0.0025, 'country': 'ZM', 'sunrise': 1535169980, 'sunset': 1535212824}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 4.5, 'deg': 131.504}"
28,stations,{'all': 0},200,"{'lon': 26.95, 'lat': 60.47}",1535206800.0,650950.0,"{'temp': 68, 'pressure': 1006, 'humidity': 49, 'temp_min': 68, 'temp_max': 68}",,Kotka,,"{'type': 1, 'id': 5047, 'message': 0.0038, 'country': 'FI', 'sunrise': 1535165388, 'sunset': 1535218609}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 10.29, 'deg': 230}"
29,stations,{'all': 0},200,"{'lon': 69.27, 'lat': 34.49}",1535205000.0,1147511.0,"{'temp': 80.6, 'pressure': 1008, 'humidity': 13, 'temp_min': 80.6, 'temp_max': 80.6}",,Bagrami,,"{'type': 1, 'id': 6936, 'message': 0.0095, 'country': 'AF', 'sunrise': 1535158273, 'sunset': 1535205482}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 19.46, 'deg': 360}"
30,stations,{'all': 1},200,"{'lon': -119.1, 'lat': 46.24}",1535205180.0,5806298.0,"{'temp': 52.86, 'pressure': 1016, 'humidity': 64, 'temp_min': 48.02, 'temp_max': 57.92}",,Pasco,,"{'type': 1, 'id': 2943, 'message': 0.0035, 'country': 'US', 'sunrise': 1535202536, 'sunset': 1535251600}",16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 10.29, 'deg': 200}"
32,stations,{'all': 90},200,"{'lon': -159.32, 'lat': 22.08}",1535207580.0,5848280.0,"{'temp': 77, 'pressure': 1012, 'humidity': 96, 'temp_min': 77, 'temp_max': 77}",,Kapaa,{'1h': 1.27},"{'type': 1, 'id': 833, 'message': 0.0039, 'country': 'US', 'sunrise': 1535213905, 'sunset': 1535259566}",8047.0,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]","{'speed': 19.46, 'deg': 60}"
33,stations,{'all': 75},200,"{'lon': -51.1, 'lat': 69.22}",1535205000.0,3423146.0,"{'temp': 41, 'pressure': 1008, 'humidity': 86, 'temp_min': 41, 'temp_max': 41}",,Ilulissat,,"{'type': 1, 'id': 4805, 'message': 0.0038, 'country': 'GL', 'sunrise': 1535181479, 'sunset': 1535239894}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 8.05, 'deg': 180}"
35,stations,{'all': 20},200,"{'lon': -41.05, 'lat': -21.64}",1535205600.0,3448903.0,"{'temp': 82.4, 'pressure': 1020, 'humidity': 51, 'temp_min': 82.4, 'temp_max': 82.4}",,Sao Joao da Barra,,"{'type': 1, 'id': 4479, 'message': 0.0091, 'country': 'BR', 'sunrise': 1535187563, 'sunset': 1535229185}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 6.93, 'deg': 340}"
36,stations,{'all': 0},200,"{'lon': -69.36, 'lat': 77.48}",1535208626.0,3831208.0,"{'temp': 36.44, 'pressure': 984.45, 'humidity': 99, 'temp_min': 36.44, 'temp_max': 36.44, 'sea_level': 1015.88, 'grnd_level': 984.45}",,Qaanaaq,,"{'message': 0.0031, 'country': 'GL', 'sunrise': 1535177973, 'sunset': 1535251603}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 3.94, 'deg': 47.5044}"
37,stations,{'all': 0},200,"{'lon': -79.44, 'lat': -1.02}",1535208627.0,3652567.0,"{'temp': 68.3, 'pressure': 860.35, 'humidity': 76, 'temp_min': 68.3, 'temp_max': 68.3, 'sea_level': 1025.57, 'grnd_level': 860.35}",,San Cristobal,,"{'message': 0.0095, 'country': 'EC', 'sunrise': 1535195824, 'sunset': 1535239332}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 3.38, 'deg': 282.004}"
38,stations,{'all': 0},200,"{'lon': -25.09, 'lat': 17.2}",1535208627.0,3374346.0,"{'temp': 78.38, 'pressure': 1023.2, 'humidity': 98, 'temp_min': 78.38, 'temp_max': 78.38, 'sea_level': 1026.58, 'grnd_level': 1023.2}",,Ponta do Sol,,"{'message': 0.003, 'country': 'CV', 'sunrise': 1535181936, 'sunset': 1535227122}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 13.11, 'deg': 42.5044}"
41,stations,{'all': 76},200,"{'lon': 106.34, 'lat': 39.23}",1535208627.0,1794971.0,"{'temp': 68.12, 'pressure': 849.32, 'humidity': 50, 'temp_min': 68.12, 'temp_max': 68.12, 'sea_level': 1020.3, 'grnd_level': 849.32}",,Shitanjing,,"{'message': 0.0114, 'country': 'CN', 'sunrise': 1535149016, 'sunset': 1535196942}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 3.49, 'deg': 169.504}"
42,stations,{'all': 20},200,"{'lon': -159.78, 'lat': -21.21}",1535205600.0,4035715.0,"{'temp': 69.8, 'pressure': 1011, 'humidity': 94, 'temp_min': 69.8, 'temp_max': 69.8}",,Avarua,,"{'type': 1, 'id': 8340, 'message': 0.0035, 'country': 'CK', 'sunrise': 1535216020, 'sunset': 1535257707}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 6.93, 'deg': 240}"
43,stations,{'all': 36},200,"{'lon': 49.87, 'lat': 11.47}",1535208628.0,53157.0,"{'temp': 89.45, 'pressure': 957.13, 'humidity': 49, 'temp_min': 89.45, 'temp_max': 89.45, 'sea_level': 1016.78, 'grnd_level': 957.13}",,Qandala,,"{'message': 0.0034, 'country': 'SO', 'sunrise': 1535164224, 'sunset': 1535208866}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 3.49, 'deg': 281.004}"
44,stations,{'all': 80},200,"{'lon': 152.91, 'lat': -31.43}",1535205600.0,2152659.0,"{'temp': 55.4, 'pressure': 1019, 'humidity': 87, 'temp_min': 55.4, 'temp_max': 55.4}",,Port Macquarie,,"{'type': 1, 'id': 8239, 'message': 0.0031, 'country': 'AU', 'sunrise': 1535141578, 'sunset': 1535182096}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 4.7, 'deg': 40}"
45,stations,{'all': 68},200,"{'lon': 117.88, 'lat': -35.02}",1535208628.0,2077963.0,"{'temp': 52.91, 'pressure': 1022.71, 'humidity': 83, 'temp_min': 52.91, 'temp_max': 52.91, 'sea_level': 1035.95, 'grnd_level': 1022.71}",,Albany,,"{'message': 0.0048, 'country': 'AU', 'sunrise': 1535150201, 'sunset': 1535190287}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 4.05, 'deg': 153.504}"
46,stations,{'all': 56},200,"{'lon': 168.33, 'lat': -46.6}",1535208628.0,2206939.0,"{'temp': 52.19, 'pressure': 1022.96, 'humidity': 94, 'temp_min': 52.19, 'temp_max': 52.19, 'sea_level': 1024.11, 'grnd_level': 1022.96}",,Bluff,,"{'message': 0.0036, 'country': 'NZ', 'sunrise': 1535138992, 'sunset': 1535177297}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 28.77, 'deg': 288.504}"
47,stations,{'all': 0},200,"{'lon': 22.13, 'lat': -30.97}",1535208628.0,1014034.0,"{'temp': 61.01, 'pressure': 871.13, 'humidity': 16, 'temp_min': 61.01, 'temp_max': 61.01, 'sea_level': 1021.84, 'grnd_level': 871.13}",,Carnarvon,,"{'message': 0.0034, 'country': 'ZA', 'sunrise': 1535172913, 'sunset': 1535213522}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 20.27, 'deg': 302.004}"
48,stations,{'all': 40},200,"{'lon': 30.79, 'lat': 59.7}",1535205600.0,546105.0,"{'temp': 71.6, 'pressure': 1007, 'humidity': 68, 'temp_min': 71.6, 'temp_max': 71.6}",,Nikolskoye,,"{'type': 1, 'id': 7267, 'message': 0.0035, 'country': 'RU', 'sunrise': 1535164624, 'sunset': 1535217534}",10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 8.95, 'deg': 160}"
49,stations,{'all': 90},200,"{'lon': -43.41, 'lat': -22.82}",1535205600.0,3456160.0,"{'temp': 72.93, 'pressure': 1018, 'humidity': 69, 'temp_min': 71.6, 'temp_max': 73.4}",,Olinda,,"{'type': 1, 'id': 4446, 'message': 0.0037, 'country': 'BR', 'sunrise': 1535188189, 'sunset': 1535229693}",10000.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 11.41, 'deg': 70}"
50,stations,{'all': 0},200,"{'lon': 123.37, 'lat': 66.77}",1535208629.0,2012530.0,"{'temp': 51.38, 'pressure': 1022.07, 'humidity': 66, 'temp_min': 51.38, 'temp_max': 51.38, 'sea_level': 1030.19, 'grnd_level': 1022.07}",,Zhigansk,,"{'message': 0.0039, 'country': 'RU', 'sunrise': 1535140475, 'sunset': 1535197201}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 6.06, 'deg': 78.0044}"
51,stations,{'all': 8},200,"{'lon': -53.46, 'lat': -33.69}",1535208521.0,3443061.0,"{'temp': 53.45, 'pressure': 1028.96, 'humidity': 79, 'temp_min': 53.45, 'temp_max': 53.45, 'sea_level': 1030.56, 'grnd_level': 1028.96}",,Chuy,,"{'message': 0.0028, 'country': 'UY', 'sunrise': 1535191203, 'sunset': 1535231511}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}]","{'speed': 30.67, 'deg': 230.504}"
52,stations,{'all': 8},200,"{'lon': 19.24, 'lat': -34.42}",1535208630.0,3366880.0,"{'temp': 58.22, 'pressure': 979.75, 'humidity': 59, 'temp_min': 58.22, 'temp_max': 58.22, 'sea_level': 1019.49, 'grnd_level': 979.75}",,Hermanus,,"{'message': 0.0029, 'country': 'ZA', 'sunrise': 1535173816, 'sunset': 1535214010}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}]","{'speed': 18.7, 'deg': 326.004}"
53,stations,{'all': 75},200,"{'lon': -52.68, 'lat': -31.39}",1535205600.0,3467512.0,"{'temp': 51.8, 'pressure': 1018, 'humidity': 66, 'temp_min': 51.8, 'temp_max': 51.8}",,Cangucu,,"{'type': 1, 'id': 4554, 'message': 0.0034, 'country': 'BR', 'sunrise': 1535190878, 'sunset': 1535231460}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 17.22, 'deg': 290, 'gust': 13.4}"
54,stations,{'all': 8},200,"{'lon': -67.52, 'lat': -46.43}",1535208364.0,3863379.0,"{'temp': 56.78, 'pressure': 1002.45, 'humidity': 52, 'temp_min': 56.78, 'temp_max': 56.78, 'sea_level': 1023.91, 'grnd_level': 1002.45}",,Mar del Plata,,"{'message': 0.004, 'country': 'AR', 'sunrise': 1535195510, 'sunset': 1535233966}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}]","{'speed': 17.58, 'deg': 278.504}"
55,stations,{'all': 80},200,"{'lon': 95.86, 'lat': 20.88}",1535208631.0,1309793.0,"{'temp': 75.77, 'pressure': 990.29, 'humidity': 92, 'temp_min': 75.77, 'temp_max': 75.77, 'sea_level': 1016.9, 'grnd_level': 990.29}",,Meiktila,{'3h': 0.115},"{'message': 0.0029, 'country': 'MM', 'sunrise': 1535152713, 'sunset': 1535198297}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 10.09, 'deg': 168.004}"
56,stations,{'all': 88},200,"{'lon': 170.27, 'lat': 69.7}",1535208631.0,2122090.0,"{'temp': 35.09, 'pressure': 1017.93, 'humidity': 100, 'temp_min': 35.09, 'temp_max': 35.09, 'sea_level': 1025.17, 'grnd_level': 1017.93}",,Pevek,,"{'message': 0.0034, 'country': 'RU', 'sunrise': 1535127966, 'sunset': 1535187160}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 10.42, 'deg': 329.504}"
58,stations,{'all': 0},200,"{'lon': 172.79, 'lat': 3.07}",1535208631.0,2110227.0,"{'temp': 83.78, 'pressure': 1021.74, 'humidity': 100, 'temp_min': 83.78, 'temp_max': 83.78, 'sea_level': 1021.76, 'grnd_level': 1021.74}",,Butaritari,,"{'message': 0.009, 'country': 'KI', 'sunrise': 1535135115, 'sunset': 1535178991}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 3.38, 'deg': 11.0044}"
59,stations,{'all': 40},200,"{'lon': -104.7, 'lat': 19.22}",1535204460.0,3985168.0,"{'temp': 82.4, 'pressure': 1012, 'humidity': 78, 'temp_min': 82.4, 'temp_max': 82.4}",,San Patricio,,"{'type': 1, 'id': 3993, 'message': 0.0033, 'country': 'MX', 'sunrise': 1535200943, 'sunset': 1535246319}",16093.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 4.5, 'deg': 131.504}"
60,stations,{'all': 0},200,"{'lon': -0.29, 'lat': 27.87}",1535205600.0,2508813.0,"{'temp': 105.8, 'pressure': 1010, 'humidity': 14, 'temp_min': 105.8, 'temp_max': 105.8}",,Adrar,,"{'type': 1, 'id': 6220, 'message': 0.0039, 'country': 'DZ', 'sunrise': 1535175402, 'sunset': 1535221744}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 14.99, 'deg': 40}"
61,stations,{'all': 0},200,"{'lon': 31.9, 'lat': 54.43}",1535208631.0,525426.0,"{'temp': 74.15, 'pressure': 1001.72, 'humidity': 58, 'temp_min': 74.15, 'temp_max': 74.15, 'sea_level': 1025.33, 'grnd_level': 1001.72}",,Sobolevo,,"{'message': 0.0079, 'country': 'RU', 'sunrise': 1535165265, 'sunset': 1535216383}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 9.19, 'deg': 173.504}"
62,stations,{'all': 40},200,"{'lon': -70.91, 'lat': -53.16}",1535205600.0,3874787.0,"{'temp': 41.85, 'pressure': 1002, 'humidity': 70, 'temp_min': 41, 'temp_max': 42.8}",,Punta Arenas,,"{'type': 1, 'id': 4642, 'message': 0.0092, 'country': 'CL', 'sunrise': 1535197011, 'sunset': 1535234101}",10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 11.41, 'deg': 250}"
64,stations,{'all': 92},200,"{'lon': 17.94, 'lat': -33.01}",1535205600.0,3361934.0,"{'temp': 59, 'pressure': 1012, 'humidity': 77, 'temp_min': 59, 'temp_max': 59}",,Saldanha,{'3h': 0.195},"{'type': 1, 'id': 6575, 'message': 0.0041, 'country': 'ZA', 'sunrise': 1535174040, 'sunset': 1535214408}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 23.04, 'deg': 360}"
